feature,target,spearman,abs_spearman
hist_exg_1,Dry_Dead_g,-0.25098139280963605,0.25098139280963605
hist_b_2,GDM_g,-0.24888252272935418,0.24888252272935418
hist_g_0,Dry_Clover_g,-0.24677350892699715,0.24677350892699715
gray_entropy,GDM_g,0.23716904018482965,0.23716904018482965
brightness_std,GDM_g,0.23514943158537163,0.23514943158537163
hist_b_7,Dry_Total_g,0.22975759569136567,0.22975759569136567
saturation_mean,Dry_Clover_g,0.22952969353789174,0.22952969353789174
hist_exg_7,Dry_Total_g,0.2288928729596473,0.2288928729596473
hist_r_5,Dry_Dead_g,0.2278429492332967,0.2278429492332967
hist_gray_0,Dry_Total_g,0.2274911003284752,0.2274911003284752
hist_gray_3,GDM_g,-0.22646560602146656,0.22646560602146656
hist_r_4,GDM_g,-0.22521744422488363,0.22521744422488363
